"sce","region","year","Units","value"
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Russia","2045","MtCO2e",2529.04962652455
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Russia","2050","MtCO2e",1684.63321914638
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Africa","2020","MtCO2e",591.926980159041
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Africa","2025","MtCO2e",552.564068395989
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Africa","2030","MtCO2e",499.842741420053
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Africa","2035","MtCO2e",374.860461640768
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Africa","2040","MtCO2e",249.872657030703
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Africa","2045","MtCO2e",124.907442205795
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Africa","2050","MtCO2e",-0.0499842126165739
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South America_Northern","2020","MtCO2e",339.427720660238
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South America_Northern","2025","MtCO2e",473.951275067686
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South America_Northern","2030","MtCO2e",510.407185278886
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South America_Northern","2035","MtCO2e",522.12587514838
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South America_Northern","2040","MtCO2e",525.404888814438
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South America_Northern","2045","MtCO2e",531.557083238654
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South America_Northern","2050","MtCO2e",538.240347566478
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South America_Southern","2020","MtCO2e",652.532661102189
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South America_Southern","2025","MtCO2e",560.982176839765
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South America_Southern","2030","MtCO2e",479.429654017938
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South America_Southern","2035","MtCO2e",375.892406537807
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South America_Southern","2040","MtCO2e",275.66118001153
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South America_Southern","2045","MtCO2e",178.595932105389
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South America_Southern","2050","MtCO2e",84.5083575484528
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Asia","2020","MtCO2e",461.513738480683
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Asia","2025","MtCO2e",521.47665926702
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Asia","2030","MtCO2e",582.783194672612
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Asia","2035","MtCO2e",641.761806997476
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Asia","2040","MtCO2e",688.256284795123
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Asia","2045","MtCO2e",744.741130181365
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Asia","2050","MtCO2e",766.22818097121
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Korea","2020","MtCO2e",746.32711724596
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Korea","2025","MtCO2e",592.825895212317
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Korea","2030","MtCO2e",437.255857866159
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Korea","2035","MtCO2e",328.06229765029
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Korea","2040","MtCO2e",218.825091649397
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Korea","2045","MtCO2e",109.629358829752
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Korea","2050","MtCO2e",0.375828526826349
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Southeast Asia","2020","MtCO2e",2617.80107752609
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Southeast Asia","2025","MtCO2e",2594.44269062314
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Southeast Asia","2030","MtCO2e",2576.03411132068
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Southeast Asia","2035","MtCO2e",2263.35574628814
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Southeast Asia","2040","MtCO2e",1939.51862635385
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Southeast Asia","2045","MtCO2e",1610.91729108729
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Southeast Asia","2050","MtCO2e",1275.41604266672
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Taiwan","2020","MtCO2e",381.765879545707
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Taiwan","2025","MtCO2e",445.654934091627
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Taiwan","2030","MtCO2e",472.705512445788
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Taiwan","2035","MtCO2e",416.256486586604
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Taiwan","2040","MtCO2e",362.473522441793
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Taiwan","2045","MtCO2e",310.300683777007
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Taiwan","2050","MtCO2e",261.074499387158
"NDC_LTT,date=2023-27-10T10:41:05+02:00","USA","2020","MtCO2e",5834.35890646115
"NDC_LTT,date=2023-27-10T10:41:05+02:00","USA","2025","MtCO2e",4750.03527615109
"NDC_LTT,date=2023-27-10T10:41:05+02:00","USA","2030","MtCO2e",3784.10475102743
"NDC_LTT,date=2023-27-10T10:41:05+02:00","USA","2035","MtCO2e",3223.25146044326
"NDC_LTT,date=2023-27-10T10:41:05+02:00","USA","2040","MtCO2e",2610.55846856952
"NDC_LTT,date=2023-27-10T10:41:05+02:00","USA","2045","MtCO2e",1983.90822550963
"NDC_LTT,date=2023-27-10T10:41:05+02:00","USA","2050","MtCO2e",1004.7723542328
